id,siCardNumber,twentyFourHour,weekDay,fourWeekCounter,twelveHourTimer,subSecond,origFromNode,radioMessageId,createdDate
3007,142,1,1,0,36000,0,1,2140,"2016-03-06 21:18:23.567338"
3237,142,1,1,0,36000,0,1,2255,"2016-03-06 21:25:08.682199"
3475,142,1,1,0,36000,0,1,2374,"2016-03-06 21:32:00.816088"
3726,142,1,1,0,36000,0,1,2499,"2016-03-06 21:39:04.259897"
3958,142,1,1,0,36000,0,1,2615,"2016-03-06 21:45:52.573947"
4209,142,1,1,0,36000,0,1,2741,"2016-03-06 21:52:56.003435"
4460,142,1,1,0,36000,0,1,2866,"2016-03-06 21:59:59.932305"
4669,142,1,1,0,36000,0,1,2971,"2016-03-06 22:06:21.172701"
4907,142,1,1,0,36000,0,1,3090,"2016-03-06 22:12:59.666023"
2594,143,1,1,0,36000,0,1,1933,"2016-03-06 21:05:53.610918"
2799,143,1,1,0,36000,0,1,2036,"2016-03-06 21:12:05.193158"
3010,143,1,1,0,36000,0,1,2141,"2016-03-06 21:18:26.888968"
3240,143,1,1,0,36000,0,1,2256,"2016-03-06 21:25:12.025993"
3478,143,1,1,0,36000,0,1,2375,"2016-03-06 21:32:04.173006"
3725,143,1,1,0,36000,0,1,2499,"2016-03-06 21:39:04.237031"
3957,143,1,1,0,36000,0,1,2615,"2016-03-06 21:45:52.551958"
4212,143,1,1,0,36000,0,1,2742,"2016-03-06 21:52:59.398873"
4459,143,1,1,0,36000,0,1,2866,"2016-03-06 21:59:59.912056"
4680,143,1,1,0,36000,0,1,2976,"2016-03-06 22:06:38.970587"
2593,144,1,1,0,36000,0,1,1933,"2016-03-06 21:05:53.588185"
3009,144,1,1,0,36000,0,1,2141,"2016-03-06 21:18:26.867038"
3239,144,1,1,0,36000,0,1,2256,"2016-03-06 21:25:12.004893"
3477,144,1,1,0,36000,0,1,2375,"2016-03-06 21:32:04.150665"
3728,144,1,1,0,36000,0,1,2500,"2016-03-06 21:39:07.604006"
3960,144,1,1,0,36000,0,1,2616,"2016-03-06 21:45:55.924388"
4211,144,1,1,0,36000,0,1,2742,"2016-03-06 21:52:59.375805"
4462,144,1,1,0,36000,0,1,2867,"2016-03-06 22:00:03.307813"
4672,144,1,1,0,36000,0,1,2972,"2016-03-06 22:06:25.095793"
4857,144,1,1,0,36000,0,1,3065,"2016-03-06 22:11:36.173088"
2596,145,1,1,0,36000,0,1,1934,"2016-03-06 21:05:57.389945"
2802,145,1,1,0,36000,0,1,2037,"2016-03-06 21:12:08.514435"
3012,145,1,1,0,36000,0,1,2142,"2016-03-06 21:18:30.995552"
3242,145,1,1,0,36000,0,1,2257,"2016-03-06 21:25:15.352828"
3480,145,1,1,0,36000,0,1,2376,"2016-03-06 21:32:07.507298"
3727,145,1,1,0,36000,0,1,2500,"2016-03-06 21:39:07.582211"
3959,145,1,1,0,36000,0,1,2616,"2016-03-06 21:45:55.903102"
4214,145,1,1,0,36000,0,1,2743,"2016-03-06 21:53:02.765479"
4461,145,1,1,0,36000,0,1,2867,"2016-03-06 22:00:03.285256"
4671,145,1,1,0,36000,0,1,2972,"2016-03-06 22:06:25.073243"
2595,146,1,1,0,36000,0,1,1934,"2016-03-06 21:05:57.367256"
2801,146,1,1,0,36000,0,1,2037,"2016-03-06 21:12:08.491061"
3011,146,1,1,0,36000,0,1,2142,"2016-03-06 21:18:30.972669"
